pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_eqt,st_teff,st_mass,sy_dist
K2-292 b,16.9841,0.13,2.63,24.5,0.04,795,5725,1,114.293
K2-295 b,4.024867,0.0451,10.054,106.47305,0,852,4444,0.74,232.801
K2-30 b,4.098503,0.04839,11.646,184.02357,0,1092,5425,0.9,333.042
K2-30 b,4.098507,0.04986,13.406,198.00809,0.027,1185,5581,0.98,333.042
K2-30 b,4.09849,0.0419,11.982,187.20187,0.08,1203,5575,0.92,333.042
K2-32 b,8.99213,0.08036,5.13,16.5,0,817,5275,0.86,157.682
K2-32 b,8.992,0.0795,5.299,15,0.03,837,5271,0.83,157.682
K2-32 c,20.66093,0.13843,3.134,8.1,0.049,634,5271,0.83,157.682
K2-32 c,20.6602,0.1399,3.01,12.1,0,619,5275,0.86,157.682
K2-32 d,31.7154,0.1862,3.43,10.3,0,537,5275,0.86,157.682
K2-32 d,31.71701,0.18422,3.484,6.7,0.05,550,5271,0.83,157.682
K2-32 e,4.34934,0.04899,1.212,2.1,0.043,1066,5271,0.83,157.682
K2-329 b,12.4551225,0.1016,8.676,82.6358,0.0697,650,5282,0.9,233.237
K2-33 b,5.42513,0.0409,5.76,1144.188,0,850,3410,0.31,139.268
K2-34 b,2.995607,0.04419,15.132,559.3808,0,1742,6132,1.28,348.646
K2-34 b,2.995629,0.0465,15.435,539.67534,0.054,1715,6149,1.23,348.646
K2-36 b,1.422614,0.0223,1.43,3.9,0,1224,4916,0.79,109.749
K2-36 c,5.340888,0.054,3.2,7.8,0,788,4916,0.79,109.749
K2-38 b,4.01593,0.04994,1.54,7.3,0.197,1266,5731,1.03,192.69
K2-38 c,10.56103,0.09514,2.29,8.3,0.161,916,5731,1.03,192.69
K2-39 b,4.60497,0.0574,5.71,39.8,0.152,1670,4912,1.19,307.47
K2-60 b,3.00265,0.045,7.656,135.39558,0,1400,5500,0.97,491.87
K2-66 b,5.06963,0.05983,2.49,21.3,0,1372,5887,1.11,513.877
K2-98 b,10.13675,0.0943,4.3,32.2,0,1102,6120,1.07,518.625
KELT-11 b,4.736529,0.06229,15.356,61.97685,0,1712,5370,1.44,99.1596
KELT-12 b,5.031623,0.06708,19.952,301.9385,0,1800,6279,1.59,368.03
KELT-14 b,1.7100566,0.03005,19.537,408.09372,0,1970,5720,1.24,250.121
KELT-14 b,1.7100588,0.02956,17.038,380.12468,0,1904,5802,1.18,250.121
KELT-15 b,3.329441,0.04613,16.175,289.2253,0,1642,6003,1.18,324.683
KELT-16 b,0.9689951,0.02044,15.861,874.0325,0,2453,6236,1.21,444.586
KELT-18 b,2.8717518,0.0455,17.598,375.0394,0,2085,6670,1.52,321.376
KELT-20 b,3.474119,0.057,20.512,5403.11,0,2260,8980,1.89,136.426
KELT-21 b,3.6127647,0.05224,17.777,1242.7153,0,2051,7598,1.46,470.878
KELT-23 A b,2.255251,0.03302,14.83,298.12454,0,1561,5899,0.94,126.261
KELT-24 b,5.55149,0.067,15.244,1334.87931,0.05,1473,6415,1.3,96.5173
KELT-24 b,5.5514926,0.06969,14.258,1646.3594,0.077,1459,6509,1.46,96.5173
KELT-3 b,2.7033904,0.04122,15.076,469.415,0,1816,6306,1.28,210.252
KELT-4 A b,2.9895932,0.04317,19.044,286.68266,0,1823,6206,1.2,218.05
KELT-6 b,7.8457,0.07939,13.372,136.661,0.22,1313,6102,1.08,240.726
KELT-7 b,2.7347749,0.04415,17.183,406.8224,0,2048,6789,1.53,136.681
KELT-8 b,3.24406,0.04571,20.849,275.55861,0.035,1675,5754,1.21,197.572
KELT-9 b,1.4811235,0.03462,21.196,915.3504,0,4050,10170,2.52,204.455
KOI-13 b,1.763588,0.03641,16.948,2949.4624,0.00064,2550,7650,1.72,519.096
KOI-3680 b,141.241671,0.534,11.097,613.4119,0.496,347,5830,1.01,921.986
KOI-4777.01,0.412,0.008,0.51,99.2,0,1180,3515,0.41,172.245
KOI-94 b,3.743208,0.05119,1.71,10.5,0.25,1486,6182,1.28,477.052
KOI-94 c,10.423648,0.1013,4.32,15.6,0.43,1012,6182,1.28,477.052
KOI-94 d,22.342989,0.1684,11.27,106,0.022,806,6182,1.28,477.052
KOI-94 e,54.32031,0.3046,6.56,35,0.019,584,6182,1.28,477.052
KPS-1 b,1.706291,0.0269,11.545,346.4347,0,1459,5165,0.89,262.706
Kepler-10 b,0.837495,0.01684,1.416,4.56,0,1833,5627,0.9,185.506
Kepler-10 b,0.8374907,0.01685,1.47,3.33,0,2169,5708,0.91,185.506
Kepler-10 b,0.8374912,0.01687,1.46,4.6,0,2160,5643,0.91,185.506
Kepler-10 c,45.29485,0.2407,2.227,20,0,485,5627,0.9,185.506
Kepler-101 b,3.4876812,0.0474,5.77,51.1,0.086,1513,5667,1.17,927.981
Kepler-101 c,6.02976,0.0684,1.25,3.78,0,1413,5667,1.17,927.981
Kepler-107 b,3.1800218,0.04544,1.536,3.51,0,1593,5854,1.24,525.997
Kepler-107 c,4.901452,0.06064,1.597,9.39,0,1379,5854,1.24,525.997
Kepler-107 d,7.95839,0.08377,0.86,3.8,0,1173,5854,1.24,525.997
Kepler-107 e,14.749143,0.12639,2.903,8.6,0,955,5854,1.24,525.997
Kepler-117 b,18.7959228,0.1445,8.059,29.875,0.0493,984,6150,1.13,1455.57
Kepler-117 c,50.790391,0.2804,12.341,584.78,0.0323,704,6150,1.13,1455.57
Kepler-138 b,10.3134,0.0753,0.64,0.07,0.02,452,3841,0.54,66.8624
Kepler-138 c,13.7815,0.0913,1.51,2.3,0.017,410,3841,0.54,66.8624
Kepler-138 d,23.0923,0.1288,1.51,2.1,0.01,345,3841,0.54,66.8624
Kepler-1514 b,217.83184,0.753,12.42,1678.1424,0.401,388,6145,1.2,397.292
Kepler-1654 b,1047.8356,2.026,9.18,158.915,0.26,206,5597,1.01,568.117
Kepler-1656 b,31.578659,0.197,5.02,48.6,0.836,651,5731,1.03,185.875
Kepler-1661 b,175.06,0.633,3.87,17,0.057,243,5100,0.84,410.607
Kepler-167 e,1071.23205,1.883,10.16,321.00669,0.29,134,4884,0.78,341.908
Kepler-17 b,1.4857108,0.02591,14.68,778.65,0.011,1570,5781,1.04,720.753
Kepler-1704 b,988.88112,2.027,11.949,1322.16617,0.92,254,5746,1.13,835.455
Kepler-20 b,3.69611525,0.0463,1.868,9.7,0.03,1105,5495,0.95,282.563
Kepler-20 b,3.6961219,0.04537,1.91,8.7,0.32,1014,5455,0.91,282.563
Kepler-20 c,10.854092,0.093,3.07,16.1,0.4,713,5455,0.91,282.563
Kepler-20 c,10.85409089,0.0949,3.047,12.75,0.16,772,5495,0.95,282.563
Kepler-20 d,77.61184,0.3453,2.75,20.1,0.6,369,5455,0.91,282.563
Kepler-21 b,2.78578,0.042717,1.639,5.08,0.02,2025,6305,1.41,108.522
Kepler-21 b,2.785755,0.042507,1.635,10.4,0,1956,6131,1.34,108.522
Kepler-22 b,289.8623,0.849,2.38,36,0,262,5518,0.97,194.642
Kepler-36 b,13.83989,0.1153,1.486,4.45,0.039,978,5911,1.07,527.956
Kepler-36 c,16.23855,0.1283,3.679,8.08,0.033,928,5911,1.07,527.956
Kepler-38 b,105.599,0.4632,4.3,122,0.032,475,5623,0.94,1174.59
Kepler-39 b,21.0874,0.155,13.68,5720.7,0.121,905,6260,1.1,1057.41
Kepler-39 b,21.08721,0.164,13.9,6388.1,0.112,897,6350,1.29,1057.41
Kepler-4 b,3.21346,0.0456,4.002,24.472,0,1650,5857,1.22,487.916
Kepler-40 b,6.87349,0.08,13.11,699.2,0,1620,6510,1.48,2305.01
Kepler-41 b,1.855558,0.03,9.98,174.8,0,1730,5620,1.12,1093.08
Kepler-41 b,1.8555582,0.03101,14.46,177.98,0,1790,5750,1.15,1093.08
Kepler-423 b,2.6843285,0.03585,13.361,189.101,0.019,1605,5560,0.85,758.753
Kepler-425 b,3.79701816,0.0464,10.962,79.45,0.33,1070,5170,0.93,646.647
Kepler-426 b,3.21751883,0.0414,12.22,108.06,0.18,1300,5725,0.91,843.695
Kepler-427 b,10.290994,0.091,13.79,92.17,0.57,1100,5800,0.96,1017.8
Kepler-428 b,3.52563254,0.0433,12.11,403.63,0.22,1070,5150,0.87,686.284
Kepler-43 b,3.024095,0.0449,13.45,1026.55,0.025,1637,6041,1.32,1005.84
Kepler-43 b,3.02409309,0.0444,13,994.77,0.017,1628,6050,1.27,1005.84
Kepler-433 b,5.33408384,0.0679,16.25,896.24,0.119,1776,6360,1.46,1878.31
Kepler-434 b,12.8747099,0.1143,12.67,908.96,0.131,1000,5977,1.2,1222.54
Kepler-435 b,8.6001536,0.0948,22.31,266.97,0.114,1729,6161,1.54,1418.77
Kepler-44 b,3.24674,0.0455,13.9,324.17,0.021,1603,5757,1.19,1188
Kepler-44 b,3.2467293,0.0446,12.22,317.82,0.066,1544,5800,1.12,1188
Kepler-45 b,2.455239,0.03,10.76,160.497,0.11,1000,3820,0.59,381.949
Kepler-46 b,33.60134,0.1968,9.057,1907,0.01,543,5155,0.9,777.06
Kepler-5 b,3.54846,0.05064,16.04,671.864,0.024,1868,6297,1.37,899.777
Kepler-51 b,45.154,0.2514,7.1,2.1,0.04,543,6018,1.04,783.831
Kepler-51 c,85.312,0.384,9,4,0.014,439,6018,1.04,783.831
Kepler-51 d,130.194,0.509,9.7,7.6,0.008,381,6018,1.04,783.831
Kepler-538 b,81.73778,0.4669,2.215,10.6,0.041,380,5547,0.89,155.956
Kepler-539 b,125.63243,0.4988,8.373,308.2951,0.39,388,5820,1.05,307.318
Kepler-6 b,3.234723,0.04567,14.83,212.619,0,1500,5647,1.21,587.039
Kepler-68 b,5.398763,0.0617,2.31,8.3,0,1280,5793,1.08,144.166
Kepler-7 b,4.885525,0.06224,16.567,137.615,0,1540,5933,1.35,922.562
Kepler-74 b,7.340711,0.0781,10.76,200.22,0,1078,6000,1.18,1177.55
Kepler-74 b,7.340718,0.084,14.8,216.12,0.287,1250,6050,1.4,1177.55
Kepler-75 b,8.8849116,0.0818,11.77,3209.9,0.57,767,5200,0.91,835.356
Kepler-75 b,8.884924,0.08,11.55,3146.4,0.569,850,5330,0.88,835.356
Kepler-77 b,3.57878087,0.04501,10.761,136.661,0,1440,5520,0.95,639.411
Kepler-8 b,3.52254,0.0483,15.906,191.643,0,1764,6213,1.21,1021.87
Kepler-87 b,114.73635,0.481,13.49,324.2,0.036,478,5600,1.1,1232.9
Kepler-87 c,191.2318,0.676,6.14,6.4,0.039,403,5600,1.1,1232.9
Kepler-93 b,4.72673978,0.053,1.478,4.02,0,1037,5655,1,95.9115
L 168-9 b,1.4015,0.02091,1.39,4.6,0.21,965,3800,0.62,25.1496
L 98-59 b,2.2531136,0.02191,0.85,0.4,0.103,627,3415,0.27,10.6194
L 98-59 b,2.2531,0.02282,0.8,1.01,0.12,610,3412,0.31,10.6194
L 98-59 c,3.6906777,0.0304,1.385,2.22,0.103,553,3415,0.27,10.6194
L 98-59 c,3.6904,0.0317,1.35,2.42,0.07,517,3412,0.31,10.6194
L 98-59 d,7.4507245,0.0486,1.521,1.94,0.074,416,3415,0.27,10.6194
L 98-59 d,7.4512,0.0506,1.57,2.31,0.09,409,3412,0.31,10.6194
LHS 1140 b,24.73712,0.0875,1.43,6.65,0.29,230,3131,0.15,14.9861
LHS 1140 b,24.73694,0.0957,1.635,6.38,0.096,379,2988,0.19,14.9861
LHS 1140 b,24.736959,0.0936,1.727,6.98,0.06,235,3216,0.18,14.9861
LHS 1140 c,3.77792,0.02734,1.169,1.76,0.274,709,2988,0.19,14.9861
LHS 1140 c,3.777931,0.02675,1.282,1.81,0.31,438,3216,0.18,14.9861
LHS 1815 b,3.81433,0.0404,1.088,8.7,0,617,3643,0.5,29.8424
LP 714-47 b,4.052037,0.0417,4.7,30.8,0.04,700,3950,0.59,52.616
LTT 1445 A b,5.3587657,0.03813,1.305,2.87,0.11,424,3340,0.26,6.86929
LTT 1445 A b,5.35882,0.03807,1.38,2.2,0.19,433,3337,0.26,6.86929
LTT 1445 A c,3.1239035,0.02661,1.147,1.54,0.223,508,3340,0.26,6.86929
LTT 3780 b,0.768448,0.01211,1.332,2.62,0,892,3331,0.4,21.9814
LTT 3780 b,0.768377,0.01203,1.35,2.34,0.064,1000,3360,0.38,21.9814
LTT 3780 c,12.252131,0.0762,2.42,6.29,0.115,397,3360,0.38,21.9814
LTT 3780 c,12.2519,0.07673,2.3,8.6,0.06,353,3331,0.4,21.9814
LTT 9779 b,0.792052,0.01679,4.72,29.32,0,1978,5443,0.77,80.4373
MASCARA-1 b,2.14878,0.043,16.814,1175.971,0,2570,7554,1.72,182.273
MASCARA-4 b,2.82406,0.047,17.15,985.273,0,2100,7800,1.75,170.696
NGTS-1 b,2.647298,0.0326,14.908,258.07796,0.016,790,3916,0.62,218.121
NGTS-11 b,35.45533,0.201,9.158,109.33352,0.13,435,5050,0.86,190.422
NGTS-12 b,7.532806,0.0757,11.747,66.10864,0,1257,5690,1.02,446.442
NGTS-13 b,4.119027,0.0549,12.801,1538.2972,0.086,1605,5819,1.3,647.595
NGTS-14 A b,3.5357173,0.0403,4.977,29.24036,0,1143,5187,0.9,322.148
NGTS-15 b,3.27623,0.0441,12.33,238.68913,0,1146,5600,0.99,786.485
NGTS-16 b,4.84532,0.0523,14.572,211.99155,0,1177,5550,1,898.168
NGTS-17 b,3.24253,0.0391,13.899,242.8209,0,1457,5650,1.02,1040.28
NGTS-18 b,3.05125,0.0448,13.563,129.99182,0,1381,5610,1,1096.19
NGTS-2 b,4.511164,0.063,17.878,235.1942,0,1468,6478,1.64,356.391
NGTS-20 b,54.18915,0.313,11.994,947.12865,0.432,688,5980,1.47,382.898
NGTS-21 b,1.5433897,0.0236,14.908,750.07504,0,1357,4660,0.72,592.891
NGTS-23 b,4.0764326,0.0504,14.202,194.82881,0,1327,6057,1.01,1074.95
NGTS-24 b,3.4678796,0.0479,13.608,165.27077,0,1499,5820,1.26,683.062
NGTS-25 b,2.823093,0.0388,11.467,203.09235,0,1101,5321,0.91,521.233
NGTS-4 b,1.3373508,0.019,3.18,20.6,0,1650,5143,0.75,280.555
NGTS-5 b,3.3569866,0.0382,12.733,72.78307,0,952,4987,0.66,306.779
NGTS-6 b,0.882059,0.01677,14.863,425.57437,0,1284,4730,0.77,308.262
NGTS-8 b,2.4997,0.035,12.218,295.5819,0.01,1345,5241,0.89,428.976
NGTS-9 b,4.43527,0.058,11.994,921.707,0.06,1448,6330,1.34,609.128
PH1 b,138.317,0.652,6.18,169,0.0702,481,6407,1.53,1033.16
Qatar-1 b,1.4200242,0.02332,12.812,411.27202,0,1418,5013,0.84,185.615
Qatar-1 b,1.42002504,0.02343,13.227,422.7139,0,1389,4910,0.85,185.615
Qatar-10 b,1.645321,0.0286,17.295,233.92288,0,1955,6124,1.16,559.068
Qatar-2 b,1.3371182,0.02149,12.823,790.41,0,1292,4645,0.74,181.374
Qatar-2 b,1.33711647,0.02153,14.056,792.635,0,1344,4645,0.74,181.374
Qatar-3 b,2.5079204,0.03783,12.285,1369.8473,0,1681,6007,1.15,735.601
Qatar-4 b,1.8053564,0.02803,12.722,1938.763,0,1385,5215,0.9,329.036
Qatar-5 b,2.8792319,0.04127,12.408,1373.0256,0,1415,5747,1.13,367.658
Qatar-6 b,3.506195,0.0423,11.904,212.31044,0,1006,5052,0.82,100.848
Qatar-7 b,2.032046,0.0352,19.055,597.5204,0,2053,6387,1.41,705.981
Qatar-8 b,3.71495,0.0474,14.404,117.91493,0,1457,5738,1.03,281.498
Qatar-9 b,1.540731,0.0234,11.31,378.2177,0,1134,4309,0.72,213.771
TIC 237913194 b,15.168865,0.1207,12.52,617.22586,0.575,974,5788,1.03,306.063
TOI-1062 b,4.11296,0.052,2.265,10.15,0.177,1077,5328,0.94,82.1733
TOI-1064 b,6.443868,0.06152,2.587,13.5,0.047,784,4734,0.75,68.0726
TOI-1064 c,12.226574,0.09429,2.651,2.5,0.088,634,4734,0.75,68.0726
TOI-1075 b,0.6047328,0.01159,1.791,9.95,0,1323,3875,0.6,61.4592
TOI-1107 b,4.0782387,0.0561,14.572,1064.72516,0.025,1728,6311,1.35,281.314
TOI-1130 c,8.350381,0.07098,16.814,309.56642,0.047,637,4250,0.68,58.2609
TOI-1201 b,2.4919863,0.0287,2.415,6.28,0,703,3476,0.51,37.8871
TOI-1231 b,24.245586,0.1288,3.65,15.4,0.087,330,3553,0.48,27.6227
TOI-1235 b,3.444729,0.03845,1.738,6.91,0.15,754,3872,0.64,39.6345
TOI-125 b,4.65382,0.05186,2.726,9.5,0.194,1037,5320,0.86,111.059
TOI-125 c,9.15059,0.0814,2.759,6.63,0.066,828,5320,0.86,111.059
TOI-125 d,19.98,0.137,2.93,13.6,0.168,638,5320,0.86,111.059
TOI-1259 A b,3.477978,0.0407,11.456,140.16233,0,963,4775,0.74,118.106
TOI-1260 b,3.12748,0.0366,2.34,8.6,0,860,4227,0.66,73.5977
TOI-1260 b,3.127463,0.0367,2.41,8.56,0,871,4227,0.68,73.5977
TOI-1260 c,7.49325,0.0656,2.82,11.8,0,643,4227,0.66,73.5977
TOI-1260 c,7.493134,0.0657,2.76,13.2,0,651,4227,0.68,73.5977
TOI-1260 d,16.608164,0.1116,3.12,11.84,0,499,4227,0.68,73.5977
TOI-1266 b,10.894879,0.0745,2.458,15.9,0,410,3573,0.44,36.0118
TOI-1266 b,10.894843,0.0736,2.37,13.5,0.09,413,3600,0.45,36.0118
TOI-1266 c,18.80151,0.1058,1.56,2.2,0.04,344,3600,0.45,36.0118
TOI-1266 c,18.80152,0.1037,1.673,6.4,0,347,3573,0.44,36.0118
TOI-1268 b,8.1577094,0.0711,9.1,96.4,0.105,919,5300,0.96,109.557
TOI-1272 b,3.31599,0.0412,4.14,24.6,0.338,961,4985,0.85,137.572
TOI-1296 b,3.9443715,0.0497,13.798,94.71287,0.055,1562,5603,1.17,323.265
TOI-1298 b,4.537164,0.059,9.427,113.14691,0.032,1388,5889,1.44,319.036
TOI-132 b,2.1097019,0.026,3.42,22.4,0.059,1395,5397,0.97,163.678
TOI-1333 b,4.720219,0.0626,15.648,753.2571,0.073,1679,6274,1.46,200.492
TOI-1422 b,12.9972,0.108,3.96,9,0.04,867,5840,0.98,155.141
TOI-1431 b,2.650237,0.046,16.701,991.62463,0.0022,2370,7690,1.9,148.925
TOI-1452 b,11.06201,0.061,1.672,4.82,0,326,3185,0.25,30.5212
TOI-1478 b,10.180249,0.0903,11.882,270.47333,0.024,918,5597,0.95,152.892
TOI-150.01,5.857487,0.07037,14.067,797.7533,0.262,1404,6255,1.35,336.267
TOI-150.01,5.857342,0.0583,15.468,556.2025,0,1493,6003,1.25,336.267
TOI-1518 b,1.902603,0.0389,21.017,731.00534,0.01,2492,7300,1.79,225.888
TOI-157 b,2.0845435,0.03138,14.415,375.0394,0,1588,5404,0.95,355.683
TOI-1601 b,5.331751,0.06864,13.888,314.6517,0.036,1619,5948,1.52,336.608
TOI-163 b,4.231306,0.058,16.69,387.7526,0,1669,6495,1.44,411.719
TOI-1634 b,0.9893436,0.0149,1.749,10.14,0,920,3472,0.45,35.2736
TOI-1634 b,0.989343,0.01545,1.79,4.91,0.16,924,3550,0.5,35.2736
TOI-1670 b,10.98462,0.103,2.06,41.31769,0.59,1062,6170,1.21,168.067
TOI-1670 c,40.74976,0.249,11.063,200.2319,0.09,684,6170,1.21,168.067
TOI-1685 b,0.6691416,0.011557,1.459,3.43,0,1052,3461,0.46,37.6153
TOI-169 b,2.2554477,0.03524,12.173,251.40353,0,1715,5880,1.15,407.84
TOI-1695 b,3.1342791,0.033548,1.9,6.36,0.097,698,3690,0.51,45.1309
TOI-1696 b,2.50031,0.0235,3.24,56.6,0,533,3168,0.27,64.9172
TOI-172 b,9.47725,0.0914,10.817,1722.6386,0.3806,1198,5645,1.13,342.831
TOI-1728 b,3.49151,0.0391,5.05,26.78,0.057,767,3980,0.65,60.798
TOI-1749 b,2.38839,0.0291,1.39,57,0.14,831,3985,0.58,99.5561
TOI-1749 c,4.4929,0.0443,2.12,14,0.019,673,3985,0.58,99.5561
TOI-1749 d,9.0497,0.0707,2.52,15,0.062,533,3985,0.58,99.5561
TOI-1759 b,18.85019,0.1177,3.14,10.8,0,443,4065,0.61,40.0654
TOI-1759 b,18.849975,0.1176,3.06,6.8,0,433,3972,0.61,40.0654
TOI-181 b,4.532,0.0539,6.956,46.1687,0.1543,895,4994,0.82,96.2338
TOI-1811 b,3.7130765,0.04389,11.142,308.92921,0.052,962,4766,0.82,128.23
TOI-1820 b,4.860674,0.061,12.778,731.00534,0.043,1375,5734,1.04,248.504
TOI-1899 b,29.02,0.1587,12.89,209.7678,0.118,362,3841,0.63,128.438
TOI-1937 A b,0.94667944,0.01932,13.978,638.8351,0,2097,5814,1.07,415.135
TOI-201 b,52.97818,0.3,11.299,133.4886,0.28,759,6394,1.32,113.825
TOI-2025 b,8.8720982,0.0892,11.893,1144.18227,0.394,1166,5977,1.2,335.985
TOI-2025 b,8.872078,0.092,12.52,1398.44499,0.41,1167,5880,1.32,335.985
TOI-2136 b,7.851928,0.057,2.19,6.37,0,395,3342,0.34,33.3631
TOI-2136 b,7.851925,0.0533,2.2,4.7,0.07,378,3373,0.33,33.3631
TOI-2136 b,7.85191,0.054,2.09,15,0,403,3366,0.34,33.3631
TOI-2145 b,10.26075,0.1108,11.982,1671.77742,0.208,1484,6177,1.72,224.731
TOI-2152 A b,3.3773512,0.05064,14.359,899.45439,0.057,1802,6630,1.52,303.006
TOI-2154 b,3.8240801,0.0513,16.287,292.40213,0.117,1580,6280,1.23,296.46
TOI-2158 b,8.60077,0.075,10.761,260.61929,0.07,1188,5673,1.12,198.473
TOI-216.01,34.556,0.2069,11.29,200,0.029,497,5026,0.87,177.945
TOI-216.02,17.089,0.1293,7.69,30,0.132,628,5026,0.87,177.945
TOI-2180 b,260.79,0.828,11.321,875.61726,0.3683,348,5695,1.11,116.685
TOI-2193 A b,2.1225735,0.03319,19.84,298.7587,0,1763,5966,1.08,337.064
TOI-2196 b,1.1947268,0.02234,3.51,26,0,1860,5634,1.03,259.947
TOI-220 b,10.695264,0.08911,3.03,13.8,0.032,805,5298,0.82,90.7402
TOI-2207 b,8.001968,0.0854,11.153,203.41018,0.174,1259,6101,1.3,373.345
TOI-2236 b,3.5315902,0.05009,14.37,502.16888,0,1688,6248,1.34,355.59
TOI-2285 b,27.26955,0.1363,1.74,19.5,0.3,284,3491,0.45,42.409
TOI-2338 b,22.65398,0.158,11.209,1900.61387,0.676,799,5581,0.99,313.996
TOI-2364 b,4.0197517,0.04871,8.608,71.51139,0,1091,5306,0.95,219.614
TOI-2421 b,4.3474032,0.0543,10.368,105.83686,0,1534,5607,1.13,327.927
TOI-2497 b,10.655669,0.1166,11.142,1531.93292,0.195,1595,7360,1.86,285.289
TOI-2567 b,5.983944,0.0672,10.929,63.88351,0,1352,5611,1.13,504.775
TOI-257 b,18.38818,0.1528,7.163,43.86032,0,1027,6095,1.41,76.9028
TOI-2570 b,2.9887615,0.04145,13.641,260.61929,0,1431,5771,1.06,361.857
TOI-2583 A b,4.5207265,0.0571,14.46,79.4571,0,1456,5936,1.22,566.189
TOI-2587 A b,5.45664,0.0635,12.072,69.28659,0,1445,5760,1.15,373.675
TOI-2589 b,61.6277,0.3,12.106,1112.39942,0.522,592,5579,0.93,200.273
TOI-269 b,3.6977104,0.0345,2.77,8.8,0.425,531,3514,0.39,57.0225
TOI-270 b,3.3601538,0.03197,1.206,1.58,0.034,581,3506,0.39,22.4793
TOI-270 c,5.6605731,0.04526,2.355,6.15,0.027,488,3506,0.39,22.4793
TOI-270 d,11.379573,0.0721,2.133,4.78,0.032,387,3506,0.39,22.4793
TOI-2796 b,4.8084983,0.0569,17.262,139.8445,0,1205,5764,1.06,350.343
TOI-2803 A b,1.96229325,0.03185,18.114,309.8827,0,1893,6280,1.12,494.818
TOI-2818 b,4.039709,0.0493,15.278,225.65817,0,1376,5721,0.98,312.674
TOI-2842 b,3.5514058,0.0475,12.845,117.59651,0,1471,5910,1.14,460.995
TOI-3023 b,3.9014971,0.0505,16.432,197.05361,0,1596,5760,1.12,389.916
TOI-3235 b,2.59261842,0.02709,11.4,211.35589,0.029,604,3388.8,0.39,72.811
TOI-3331 A b,2.0180231,0.03144,12.98,721.47048,0,1488,5609,1.02,217.193
TOI-3364 b,5.8768918,0.0675,12.229,530.77344,0,1264,5706,1.19,277.899
TOI-3629 b,3.936551,0.043,8.295,82.63539,0.05,690,3870,0.63,130.091
TOI-3688 A b,3.246075,0.0456,13.081,311.47184,0,1534,5950,1.2,396.378
TOI-3693 b,9.088516,0.0813,12.599,324.18498,0,801,5321,0.87,176.436
TOI-3714 b,2.154849,0.027,11.321,222.47988,0.03,750,3660,0.53,112.71
TOI-3757 b,3.438753,0.03845,12,85.3,0.14,759,3913,0.64,181.139
TOI-3807 b,2.8989727,0.0421,18.495,330.54154,0,1646,5772,1.18,421.745
TOI-3819 b,3.2443141,0.04611,13.137,352.78953,0,1633,5859,1.24,558.141
TOI-3884 b,4.5445697,0.0354,6,16.5,0.32,463,3269,0.28,43.1448
TOI-3912 b,3.4936264,0.0463,14.28,129.03833,0,1512,5725,1.09,465.992
TOI-3976 A b,6.607662,0.0743,12.274,55.61997,0,1295,5975,1.25,516.087
TOI-4087 b,3.1774835,0.04469,13.047,232.01474,0,1458,6060,1.18,301.676
TOI-4137 b,3.8016122,0.05222,13.574,457.67291,0,1570,6202,1.31,334.993
TOI-4145 A b,4.0664428,0.04823,13.305,136.66622,0,1074,5281,0.91,205.387
TOI-421 b,5.19672,0.056,2.68,7.17,0.163,981,5325,0.85,74.7969
TOI-421 c,16.06819,0.1189,5.09,16.42,0.152,674,5325,0.85,74.7969
TOI-431 b,0.490047,0.0113,1.28,3.07,0,1862,4850,0.78,32.5686
TOI-431 d,12.46103,0.098,3.29,9.9,0,633,4850,0.78,32.5686
TOI-4406 b,30.08364,0.201,11.209,95.34852,0.15,904,6219,1.19,261.834
TOI-4463 A b,2.8807198,0.04036,13.26,252.35576,0,1395,5640,1.06,173.117
TOI-4562 b,225.11781,0.768,12.53,732,0.76,318,6096,1.19,339.605
TOI-4603 b,7.24599,0.0888,11.68,4096.80817,0.325,1677,6264,1.76,225.643
TOI-4791 b,4.28088,0.0555,12.442,734.18362,0,1472,6058,1.24,328.802
TOI-481 b,10.33111,0.097,11.097,486.2799,0.153,1370,5735,1.14,179.366
TOI-500 b,0.548177,0.01189,1.166,1.42,0.063,1617,4440,0.74,47.3924
TOI-5153 b,20.33003,0.158,11.882,1036.12061,0.091,906,6300,1.24,390.484
TOI-5205 b,1.630757,0.0199,11.6,343,0.02,737,3430,0.39,86.4493
TOI-530 b,6.387597,0.052,9.303,127.13136,0,565,3659,0.53,148.762
TOI-532 b,2.3266508,0.0296,5.82,61.5,0,867,3927,0.64,135.047
TOI-5542 b,75.12375,0.332,11.31,419.5335,0.018,441,5700,0.89,348.849
TOI-558 b,14.574071,0.1291,12.173,1147.36055,0.298,1061,6466,1.35,402.63
TOI-559 b,6.9839095,0.0723,12.229,1910.14873,0.151,1180,5925,1.03,233.266
TOI-561 b,0.4465688,0.0106,1.425,2,0,2310,5372,0.81,85.799
TOI-561 b,0.446573,0.01064,1.45,3.2,0,2480,5326,0.81,85.799
TOI-561 c,10.77892,0.0888,2.9,7,0,860,5326,0.81,85.799
TOI-561 c,10.778831,0.0884,2.91,5.39,0.03,800,5372,0.81,85.799
TOI-561 d,25.7124,0.158,2.82,13.2,0.122,598,5372,0.81,85.799
TOI-561 e,77.03,0.328,2.55,12.6,0.079,415,5372,0.81,85.799
TOI-564 b,1.651144,0.02734,11.433,464.98529,0.072,1714,5640,1,199.581
